,Blocking_patent,Blocking_action,Blocked_app
556,7239896,103a,12587227
557,7239896,103a,13558531
558,7586990,103a,12096220
559,7586990,103a,12399769
560,7640373,103a,12352486
561,7640373,103,12352486
562,7640373,103a,12352486
563,7640373,103a,12125253
564,7640373,103a,12352486
565,5754953,103a,11696713
566,7266198,103a,13041303
567,7266198,103a,12911406
568,7266198,102b,13336411
569,7266198,103a,13041303
570,7266198,103a,12911406
571,7676583,103a,12383176
572,6404764,102b,12197858
573,5893036,103a,12900847
574,6961427,103a,12818062
575,6049707,103,11343751
576,6049707,103a,13451839
577,6049707,103,13451839
578,7821996,103a,12500369
579,6170005,103a,11419240
580,6170005,103a,11947489
581,6170005,103a,11947489
582,6170005,103a,11666278
583,5818887,103a,12717645
584,7558587,103a,12197729
585,7558587,103a,12197729
586,6151362,103a,11677335
587,6151362,103a,11677335
588,6865384,103a,10289896
589,6865384,103a,10289896
590,7331793,102a,13432443
591,7085576,102b,12190952
592,7085576,103a,12190952
593,7085576,103a,12196650
594,7085576,103a,12196650
595,7653383,103a,11609760
596,7653383,103a,11609760
597,7653383,103a,11609760
598,7019491,103a,12163614
599,7019491,103a,12163614
600,7019491,103a,12163614
601,7426175,103a,11691549
602,6169886,103a,12257609
603,5738583,103a,11635804
604,5738583,103a,11635804
605,5738583,103a,11323852
606,5738583,102e,11875692
607,5854785,103a,11619550
608,5854785,103a,11619550
609,5854785,103a,11565597
610,6011699,102,13002008
611,6011699,103a,12470400
612,6011699,102b,12142079
613,6011699,103a,12142079
614,6011699,103a,12470400
615,6011699,103a,12049854
616,6011699,103a,10841957
617,5991285,103a,10594053
618,5991285,103a,10594053
619,5991285,103a,10594053
620,5991285,103a,10594053
621,5991285,103a,10594053
622,8767632,103a,12903593
623,7477690,103a,12087349
624,7477690,103a,12087349
625,7477690,103a,12087349
626,6643503,103a,12594927
627,6760589,103a,10756163
628,5901357,102b,13000146
629,6080501,102e,11547583
630,6940820,103a,11786162
631,5928330,103a,11931196
632,5928330,103a,11931196
633,5928330,103,12346844
634,5928330,103a,12083380
635,5928330,103a,13100693
636,5928330,103a,13100639
637,5928330,102,12199814
638,6236960,103a,12196414
639,6236960,103a,12692245
640,6236960,103a,12196414
641,6014552,102b,12813607
642,6014552,103a,12813607
643,6014552,103a,12813607
644,7085256,103a,11864432
645,6810323,103a,12560267
646,6810323,103,12704301
647,6509659,103a,11846540
648,6509659,103a,11846540
649,6509659,103a,11846540
650,6509659,103a,11846540
651,6907237,103,12087060
652,6907237,103,12087060
653,6907237,103,12087060
654,6649852,103a,12711923
655,6649852,103a,12711923
656,5857155,103a,11470886
657,5857155,103a,11470886
658,5857155,103a,11470886
659,5857155,103a,11470886
660,5857155,102b,13055812
661,5857155,103a,13055812
662,5857155,119,13055812
663,5857155,102b,13055812
664,5857155,103a,13055812
665,5857155,102b,13055811
666,7751826,103a,12484135
667,7751826,103a,13441014
668,7634565,103a,12040665
