pub_year,CitMonth,count
2014,2012-06,0
2014,2012-07,0
2014,2012-08,0
2014,2012-09,0
2014,2012-10,0
2014,2012-11,0
2014,2012-12,0
2014,2013-01,0
2014,2013-02,0
2014,2013-03,0
2014,2013-04,0
2014,2013-05,0
2014,2013-06,0
2014,2013-07,0
2014,2013-08,0
2014,2013-09,0
2014,2013-10,0
2014,2013-11,0
2014,2013-12,0
2014,2014-01,0
2014,2014-02,0
2014,2014-03,0
2014,2014-04,0
2014,2014-05,0
2014,2014-06,0
2014,2014-07,1
2014,2014-08,1
2014,2014-09,2
2014,2014-10,3
2014,2014-11,4
2014,2014-12,10
