,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
339,7747558,0,0,0.0,0
340,8068175,0,0,0.0,0
341,9060046,0,0,0.0,0
342,6353382,0,0,0.0,0
343,6586885,0,0,0.0,0
344,8442021,0,0,0.0,0
345,6617075,1,1,1.0,1
346,6503378,0,3,0.0,0
347,6141638,0,4,0.0,0
348,8463414,0,0,0.0,0
349,7138979,3,10,0.3,1
350,7020444,0,6,0.0,0
351,5831475,0,1,0.0,0
352,7602848,0,1,0.0,0
353,6191738,0,35,0.0,0
354,6999918,0,1,0.0,0
355,6564047,2,60,0.0333333333333,2
356,8897033,0,0,0.0,0
357,6989205,0,0,0.0,0
358,7013143,9,51,0.176470588235,4
359,8451104,0,0,0.0,0
360,5987021,1,5,0.2,1
361,6532593,6,29,0.206896551724,5
362,5691981,0,1,0.0,0
363,6408340,0,1,0.0,0
364,8018893,5,14,0.357142857143,4
365,7688755,0,1,0.0,0
366,7039432,0,28,0.0,0
367,5831636,0,0,0.0,0
368,7145862,0,2,0.0,0
369,6278723,0,18,0.0,0
370,6167280,0,2,0.0,0
371,5694431,0,0,0.0,0
372,7769353,0,8,0.0,0
373,7170883,0,4,0.0,0
374,7330731,0,2,0.0,0
375,6138042,3,8,0.375,1
376,6281712,0,0,0.0,0
377,6043786,0,3,0.0,0
378,6233235,0,32,0.0,0
379,8391188,0,0,0.0,0
380,7778653,1,3,0.33333333333299997,1
381,7174356,0,4,0.0,0
382,8656422,0,0,0.0,0
383,6219840,1,23,0.0434782608696,1
384,6484033,3,58,0.051724137931,2
385,6937669,0,4,0.0,0
386,7209717,2,6,0.33333333333299997,1
387,7496363,0,1,0.0,0
388,7697497,0,6,0.0,0
389,5930681,0,0,0.0,0
390,7944484,2,2,1.0,2
391,7319883,0,3,0.0,0
392,6882709,52,54,0.962962962963,11
393,7578955,0,0,0.0,0
394,6199086,0,3,0.0,0
395,7822438,0,0,0.0,0
396,7729696,0,12,0.0,0
397,6768910,0,1,0.0,0
398,9003460,0,0,0.0,0
399,6970817,0,8,0.0,0
400,6791945,0,20,0.0,0
401,7822544,0,0,0.0,0
402,8204013,0,1,0.0,0
403,6333682,0,0,0.0,0
404,9213102,0,0,0.0,0
405,7031344,0,12,0.0,0
406,6123474,0,0,0.0,0
407,6307846,15,54,0.277777777778,6
408,8374197,0,0,0.0,0
409,5656917,1,25,0.04,1
410,6876543,2,25,0.08,1
411,8340081,0,3,0.0,0
412,6832086,0,0,0.0,0
