"","pub_year","cit_month","count"
"474","2008",2012-12-01,30
"475","2009",2012-12-01,24
"476","2010",2012-12-01,15
"477","2011",2012-12-01,10
"478","2012",2012-12-01,2
"479","2013",2012-12-01,0
"480","2014",2012-12-01,0
"481","1994",2013-01-01,0
"482","1996",2013-01-01,0
"483","1997",2013-01-01,15
"484","1998",2013-01-01,74
"485","1999",2013-01-01,138
"486","2000",2013-01-01,142
"487","2001",2013-01-01,122
"488","2002",2013-01-01,78
"489","2003",2013-01-01,78
"490","2004",2013-01-01,86
"491","2005",2013-01-01,63
"492","2006",2013-01-01,94
"493","2007",2013-01-01,52
"494","2008",2013-01-01,29
"495","2009",2013-01-01,31
"496","2010",2013-01-01,38
"497","2011",2013-01-01,11
"498","2012",2013-01-01,6
"499","2013",2013-01-01,0
"500","2014",2013-01-01,0
"501","1994",2013-02-01,0
"502","1996",2013-02-01,0
"503","1997",2013-02-01,10
"504","1998",2013-02-01,72
"505","1999",2013-02-01,117
"506","2000",2013-02-01,125
"507","2001",2013-02-01,105
"508","2002",2013-02-01,65
"509","2003",2013-02-01,61
"510","2004",2013-02-01,112
"511","2005",2013-02-01,113
"512","2006",2013-02-01,74
"513","2007",2013-02-01,42
"514","2008",2013-02-01,44
"515","2009",2013-02-01,23
"516","2010",2013-02-01,20
"517","2011",2013-02-01,16
"518","2012",2013-02-01,6
"519","2013",2013-02-01,0
"520","2014",2013-02-01,0
"521","1994",2013-03-01,0
"522","1996",2013-03-01,0
"523","1997",2013-03-01,11
"524","1998",2013-03-01,74
"525","1999",2013-03-01,92
"526","2000",2013-03-01,92
"527","2001",2013-03-01,92
"528","2002",2013-03-01,54
"529","2003",2013-03-01,71
"530","2004",2013-03-01,55
"531","2005",2013-03-01,59
"532","2006",2013-03-01,82
"533","2007",2013-03-01,38
"534","2008",2013-03-01,26
"535","2009",2013-03-01,13
"536","2010",2013-03-01,22
"537","2011",2013-03-01,17
"538","2012",2013-03-01,4
"539","2013",2013-03-01,0
"540","2014",2013-03-01,0
"541","1994",2013-04-01,0
"542","1996",2013-04-01,0
"543","1997",2013-04-01,13
"544","1998",2013-04-01,91
