,Blocking_patent,Blocking_action,Blocked_app,Blocking_date,Final
930,7159120,103a,12728624,2011-02-01,0
931,7159120,102e,12728624,2011-02-01,0
932,7159120,103a,11857383,2011-01-04,0
933,7159120,103a,12120165,2011-06-22,0
934,7159120,103a,12120165,2011-03-15,1
935,7159120,103a,11493952,2011-10-17,0
936,7159120,103,11634371,2011-03-17,0
937,7271948,102e,12138977,2011-02-24,0
938,7271948,103a,12138977,2011-02-24,0
940,7271948,119,12138977,2011-09-16,0
941,6275536,103a,11381780,2011-01-24,1
944,6275536,102e,11256565,2012-02-02,0
945,5812542,103a,12901616,2012-09-26,1
946,7199762,102e,13209325,2012-07-06,0
947,7199762,103a,12936988,2013-04-16,0
948,6073092,119a,10215048,2011-01-06,0
949,6073092,103,10215048,2011-01-06,0
950,6327299,103a,12088414,2011-02-04,0
951,6459440,103a,12361725,2011-09-15,1
952,6459440,103a,12349153,2011-08-09,0
953,7683918,103a,11876972,2011-03-22,1
954,7683918,103a,11978075,2011-05-24,1
956,7683918,102e,11978075,2011-01-14,0
957,7683918,103a,11978075,2011-01-14,0
958,7683918,102e,11924399,2011-02-28,1
959,7683918,103a,11876972,2012-02-23,0
960,7230550,103a,13269852,2013-10-24,0
961,7468573,102b,12502647,2011-12-12,0
962,7058407,103a,11956168,2011-07-18,0
963,7058407,119,13357458,2012-10-25,0
964,7500198,102b,12016892,2011-06-10,0
965,7500198,102,10719317,2011-01-10,1
966,7500198,103a,10719317,2011-01-10,1
967,7500198,103a,11367433,2013-02-28,0
968,6424623,101,12699842,2011-02-08,0
969,6424623,101,12699842,2011-08-08,1
970,6424623,112,12699846,2011-08-09,0
971,5758264,103a,12721934,2011-09-26,0
972,6424743,112,11547066,2011-05-10,0
973,6424743,103a,11740840,2011-12-08,0
974,6424743,103a,12164037,2012-01-05,0
975,6424743,103a,12164037,2012-06-07,1
976,7603120,102e,13460532,2012-09-24,0
977,5850611,103a,12064553,2011-04-20,0
979,5850611,103a,12064553,2011-10-18,1
981,5850611,103a,12161630,2011-10-04,1
983,7050419,103a,10597482,2011-02-09,1
984,7050419,103a,11298446,2011-07-28,1
985,7050419,103a,11298446,2011-02-15,0
986,7050419,102e,12499450,2011-04-04,1
987,7050419,103a,11845781,2011-02-08,1
988,7050419,103,11954898,2011-11-23,0
989,7050419,103a,13338677,2013-05-09,0
990,6144276,103a,13342315,2012-08-29,0
991,6018651,103a,12119160,2011-01-03,1
992,7684799,103a,12924196,2012-02-23,0
993,7684799,103a,12924196,2012-07-27,1
995,6734898,102b,11616870,2011-08-19,1
996,6734898,103a,10469174,2011-07-18,1
998,6734898,102b,11616870,2011-03-04,0
999,6734898,103,11620158,2011-10-18,1
1001,6734898,103a,10469174,2011-03-24,0
1003,6128735,103a,11027747,2011-02-28,0
1004,6128735,103a,12698894,2011-08-11,0
1005,6128735,103a,11027747,2011-09-13,1
1006,6128735,103a,11737873,2011-09-19,1
1007,6128735,103a,11737873,2011-04-15,0
1008,6128735,103a,12698894,2012-01-30,1
1009,6497975,103a,11831894,2011-07-08,1
1010,6497975,103a,11831894,2011-04-14,0
1011,6497975,102b,12922767,2012-11-15,0
1012,6164531,103a,12393561,2011-05-06,0
1013,7002942,103a,11562979,2011-12-27,1
1014,7136909,119a,11530599,2011-01-07,0
1015,7136909,103a,11530599,2011-01-07,0
1017,7136909,103a,12374666,2011-06-30,0
1020,7136909,119a,11530599,2011-06-24,1
1021,7136909,103a,11530599,2011-06-24,1
1022,6920171,103a,12101054,2011-10-11,0
1023,6920171,103a,12947487,2011-03-31,0
1024,6920171,103,12088453,2011-06-14,0
1025,6920171,103a,12101049,2011-12-22,0
1027,6920171,103a,12101054,2012-05-30,1
1028,6920171,103a,12101049,2012-07-31,1
1030,6920171,103a,12672955,2013-11-05,0
1031,6920171,103a,12833160,2013-03-01,1
1032,6920171,103a,13101937,2013-07-22,0
1033,6125278,103a,12030050,2011-03-07,1
1034,6125286,102b,12149955,2011-04-20,0
1035,6125286,103a,12149955,2011-04-20,0
1036,6125286,102b,12391932,2011-06-07,0
1037,7136482,103a,10542262,2011-03-31,0
1040,7136482,103a,13558531,2012-10-17,0
1041,5948066,103a,11658773,2011-01-06,1
1042,5948066,112,10354403,2011-11-07,1
1043,6486874,103a,11580218,2011-09-30,0
1046,8379655,103a,13263406,2013-03-28,0
1047,6999773,103a,11054771,2011-02-03,0
1052,5909444,102e,11955121,2011-01-21,0
1053,6732270,103a,11596574,2011-07-13,0
1055,7848739,103a,12309203,2014-03-10,0
1056,7848739,103a,12309203,2014-07-17,1
1057,6421016,103a,12380598,2011-06-02,1
1058,5929776,103,13214983,2012-08-20,0
1059,6704572,119,13052667,2011-11-22,0
1060,6704572,103a,12220853,2011-06-10,1
1061,7106814,103a,12595105,2011-09-29,0
1062,6549789,102b,12083959,2011-08-02,0
1063,6549789,103a,11945684,2011-03-10,1
1066,6549789,103a,11650484,2011-10-14,0
1067,6549789,102e,12704444,2011-03-22,0
1068,6549789,103a,11945684,2011-09-28,0
1071,6389269,102b,12623248,2012-03-22,0
1072,5631101,103a,11166776,2011-09-01,0
1076,6937873,102e,12097521,2011-05-06,0
1077,6608861,102b,11736030,2011-01-21,0
1078,6608861,103a,11736030,2011-01-21,0
1079,7062246,103a,10954019,2011-01-10,1
1080,6084968,103a,11578787,2011-02-10,1
1081,6044276,103a,11375052,2011-03-24,0
1083,6342774,103a,12744642,2012-02-13,0
1084,6342774,103a,12744642,2012-08-28,1
1085,6161207,103a,12494957,2013-01-22,1
1086,6327307,103a,13126040,2013-01-17,0
1087,5966651,103a,11233069,2011-11-14,0
1088,7158482,103a,10816385,2011-03-04,0
1089,6310898,103a,11729927,2011-04-14,1
1092,6310898,103a,11729927,2011-07-26,0
1095,7096025,103a,11199081,2011-07-29,0
1096,7096025,103a,11199081,2012-01-06,1
1097,6094565,102b,12055853,2011-07-28,0
1098,6094565,102e,12471217,2011-07-22,0
1099,6094565,103a,12055853,2012-02-09,1
1100,5893132,103a,09344492,2011-02-15,0
1101,5893132,103a,11549720,2011-06-22,1
1102,7375730,103a,12717345,2012-05-07,1
1103,5949948,103a,11831916,2011-03-31,0
1104,5949948,103a,11831916,2011-09-28,1
1105,5949948,103a,12957148,2012-10-24,0
1106,6144186,103a,12195618,2011-11-30,1
1111,6144186,102b,12195618,2011-03-30,1
1112,6144186,103a,12195618,2011-03-30,1
1115,6144186,103a,12195618,2011-06-15,0
1120,6859494,103a,11638838,2011-08-09,0
1121,6859494,103a,11638838,2012-01-26,1
1122,6912507,103a,12187775,2011-10-12,1
1123,6912507,103a,12187775,2011-06-06,0
1124,6912507,112,13250791,2012-07-13,0
1125,6212550,102b,12399004,2011-04-27,0
1126,6212550,102e,12077822,2011-06-07,0
1127,6212550,103,13445884,2013-02-22,1
1128,6212550,103a,13445884,2013-02-22,1
1129,6668173,103a,10265980,2011-01-24,1
1130,6668173,103a,11466781,2011-01-31,1
1131,6668173,103a,13216511,2012-12-05,1
1132,6668173,103a,11000667,2012-03-27,0
1133,6668173,119,13216511,2012-04-11,0
1134,6668173,103a,13216511,2012-04-11,0
1135,6668173,103a,11000667,2012-10-25,1
1136,8145127,103a,12819355,2013-11-07,0
1137,6954649,103a,11449274,2011-03-30,0
1138,6954649,103a,11449274,2011-10-24,1
1139,5926104,103a,13108925,2012-03-26,0
1140,6104726,102e,11932726,2011-08-04,0
1141,6104726,103a,11932726,2011-08-04,0
1142,6862433,103a,12392456,2011-04-15,1
1145,6862433,103a,10600209,2011-08-11,1
1146,6862433,103a,12132549,2011-03-01,0
1147,6862433,103a,12592469,2011-08-17,1
1148,6720864,103a,12089690,2011-08-02,1
1151,6720864,103a,12089690,2012-08-17,0
1155,6259741,103a,13018709,2011-04-25,0
1156,6259741,103a,13019090,2011-06-08,0
1157,6963730,103a,11784883,2011-11-25,1
1158,6963730,103a,11784883,2011-04-01,0
1159,6449465,103a,12400764,2011-11-23,0
1160,6449465,103a,11670931,2011-01-07,1
1161,6449465,102b,13461697,2012-06-27,0
1162,7184745,102b,12498632,2011-10-21,1
1163,7184745,103a,12498632,2011-10-21,1
1166,7184745,102b,12498632,2011-06-20,0
1167,7184745,103a,12498632,2011-06-20,0
1170,7184745,103a,12498632,2012-07-09,0
1172,6847311,102b,12391571,2011-12-08,0
1173,6847311,103a,12391571,2011-12-08,0
1174,6847311,102b,12391571,2012-04-23,1
1175,6847311,103a,12391571,2012-04-23,1
1176,6889212,103a,12335046,2011-08-03,1
1177,6889212,103a,12335046,2011-03-24,0
1178,6055333,103a,10183991,2011-03-11,0
1179,6055333,103a,10183991,2011-12-07,1
1180,6640087,103a,13118051,2011-11-15,0
1181,6640087,119,11295896,2011-11-03,1
1182,6640087,119a,11295896,2011-03-25,0
1183,6640087,102b,12367293,2011-09-19,0
1184,6640087,103a,13138516,2013-08-05,0
1187,6640087,103a,13138516,2014-02-05,1
1190,7653398,103a,13037079,2012-10-03,0
1191,6556814,102b,12887467,2011-04-01,0
1192,6556814,103a,12887467,2011-09-12,1
1193,6556814,102b,12887467,2012-09-06,0
1194,6556814,103a,12887467,2013-01-15,1
1195,6947760,103a,11048766,2011-01-31,0
1196,6289129,103,13190110,2012-12-31,0
1197,8036237,103,12731984,2012-01-06,0
1198,6192256,102b,12130396,2011-03-30,0
1199,6192256,103a,11985325,2011-04-20,1
1201,6931059,103,12949957,2012-11-02,0
1202,6931059,103a,12949957,2012-11-02,0
1203,7082290,103a,13152170,2012-09-05,0
1208,7082290,102e,13152170,2013-01-18,1
1209,7082290,103a,13152170,2013-01-18,1
1213,5815407,103a,12855256,2012-09-13,0
1218,5815407,103a,12855256,2013-04-25,1
1223,6112074,103a,11974023,2011-02-09,1
1224,7477699,102b,12164718,2011-03-23,0
1225,7477699,102b,12164718,2011-08-25,0
1226,7643817,103a,12034989,2011-02-04,0
1227,7269561,103a,12810384,2012-08-16,0
1228,7269561,103a,12810384,2013-02-12,1
1229,6246327,103a,10586738,2011-02-03,1
1230,6961384,103,12187352,2011-08-17,0
1231,6961384,103a,11817686,2011-10-11,0
1232,6223154,103a,11092372,2011-02-25,0
1234,6493671,103a,12393641,2011-02-04,1
1236,6792534,103a,11119408,2011-02-10,1
1237,5929702,102b,12671656,2011-10-07,0
1238,5929702,103a,12671656,2011-10-07,0
1239,6797427,102b,11965035,2011-08-25,0
1240,6797427,103a,11965035,2011-08-25,0
1250,6797427,102b,11965035,2011-06-09,1
1252,6797427,103a,11965035,2012-03-14,1
1253,5736933,103a,12956834,2012-12-19,0
1254,7733919,119,12583369,2012-01-09,0
1255,6741873,103a,11378364,2011-04-01,0
1256,6741873,103a,11378364,2011-10-04,1
1257,6384727,103a,10586738,2011-06-16,0
1258,6384727,103a,10586738,2011-02-03,1
1259,6505058,102b,12052500,2011-06-07,0
1260,6505058,102b,12052500,2012-01-05,1
1261,7312729,103a,12194605,2012-03-20,1
1262,6226403,102b,12194780,2012-08-15,1
1263,6498358,103a,13038421,2012-10-26,0
1264,6766147,102b,11470738,2011-02-18,0
1265,6766147,103a,11470738,2011-02-18,0
1268,6766147,103a,11470738,2011-11-25,0
1271,6766147,103a,11470738,2011-08-03,1
1274,6766147,103a,11470738,2012-06-18,1
1276,6188767,102,10683761,2011-01-25,1
1277,7117019,103a,12197789,2011-05-13,0
1278,7117019,103a,12197789,2011-04-15,0
1279,7117019,103a,12197789,2011-11-14,1
1280,6249678,103a,12533651,2013-08-02,0
1281,6249678,103a,12533651,2013-12-20,1
1282,6151397,103a,12905794,2013-01-10,0
1283,6888811,102e,12904085,2011-03-11,0
1284,6888811,103a,13225848,2012-02-16,0
1285,6122335,103a,12393737,2012-03-08,0
1286,7206847,103a,12162468,2012-05-10,0
1287,5942938,103a,13017042,2011-09-30,0
1288,5867478,103a,10477250,2011-07-20,0
1289,5867478,102b,11957617,2011-01-06,0
1290,5867478,103a,11957617,2011-01-06,0
1293,5867478,103a,12000291,2011-01-24,0
1294,5867478,103a,11242115,2011-02-24,0
1295,5867478,103a,12052842,2011-03-25,0
1299,5867478,103a,11957617,2011-05-24,1
1302,5867478,103a,12629571,2012-12-03,0
1303,5867478,102,12189437,2012-02-15,0
1304,5867478,103c,12189437,2012-02-15,0
1305,5867478,103a,12189437,2012-02-15,0
1306,5867478,103a,12629571,2012-01-30,0
1307,5867478,102,12189437,2012-08-09,1
1308,5867478,103c,12189437,2012-08-09,1
1309,5867478,103a,12189437,2012-08-09,1
1310,5867478,103a,13445263,2012-09-21,0
1311,5867478,103a,12712093,2012-08-14,1
1312,5867478,103a,10477250,2012-01-05,1
1313,5867478,112,12601840,2012-07-11,0
1314,5867478,103a,12712093,2012-01-31,0
1315,5867478,103a,12629571,2013-04-24,1
1316,6529804,103a,11770671,2011-06-28,1
1317,6529804,103a,11770671,2011-01-12,0
1318,6134237,103a,12161573,2011-12-15,1
1326,6134237,103a,11516885,2011-02-15,1
1327,6134237,103a,12161573,2011-06-10,0
1335,6134237,103a,11231886,2011-02-10,0
1340,7499950,103a,11876709,2011-04-29,0
1341,7499950,103a,11876709,2011-12-21,1
1342,6700867,103a,11670639,2011-01-21,1
1343,6700867,103a,12840131,2012-06-19,0
1344,6700867,103a,12840131,2013-02-22,1
1345,7386128,103a,11275183,2011-06-15,0
1346,7522675,103a,10978931,2011-02-16,0
1347,7065068,103a,11238791,2011-03-03,1
1348,5825762,103a,11556855,2012-07-11,0
1349,7912009,103a,12935852,2012-12-06,0
1350,6836514,103a,11929512,2011-04-19,0
1351,6836514,103a,11447116,2011-02-17,1
1352,6173330,102e,12815022,2011-01-19,0
1353,6173330,103a,11486267,2012-07-31,0
1354,7363044,103a,11851685,2012-02-01,0
1355,6014376,103a,12433532,2011-01-20,0
1356,6014376,102b,13257110,2014-01-10,0
1357,6792281,103a,11860051,2012-04-24,0
1358,6792281,102b,11860051,2012-04-24,0
1359,6373884,103a,12032011,2011-02-16,0
1360,6373884,103a,12032011,2011-07-06,1
1361,7634251,103a,12362203,2011-04-04,0
1363,7634251,103a,12362203,2011-11-30,1
1365,7634251,103a,12362203,2012-04-27,0
1367,7634251,103a,12362203,2014-06-16,1
1368,7886355,103a,12482471,2011-05-13,0
1369,5741609,103,12708807,2012-04-30,0
1370,5741609,103a,12708807,2012-04-30,0
1372,6175740,102,11823181,2011-11-10,1
1373,6175740,119a,12165224,2011-01-04,0
1374,6175740,103a,12165224,2011-10-11,0
1375,6175740,102b,11823181,2011-05-23,0
1376,6175740,103a,12165224,2012-02-02,1
1377,6754908,103a,11275183,2011-06-15,0
1378,6754908,103a,12850121,2012-09-17,0
1379,7388923,102b,12412797,2012-06-20,0
1380,6347882,103a,12476067,2011-05-13,0
1381,6347882,103a,12476067,2012-01-06,1
1382,6192247,103a,11569237,2011-06-24,1
1383,7187759,103a,11771968,2011-07-28,0
1384,6904611,103a,12396452,2011-08-31,0
1385,6169538,103a,10602540,2011-06-09,0
1386,6169538,103a,11771096,2011-01-20,0
1390,6169538,103a,11925619,2011-08-04,0
1391,6169538,103a,11635689,2011-10-28,1
1392,6169538,103a,11771096,2011-10-13,1
1396,6169538,103a,11635689,2011-02-22,0
1397,6169538,103a,12059215,2011-01-18,0
1398,6169538,103a,11682148,2011-04-28,0
1399,6169538,103a,12059215,2011-07-06,1
1401,6169538,103a,11925619,2011-02-22,1
1402,6169538,103a,11520650,2011-07-07,0
1403,6169538,103a,11635689,2011-07-13,0
1404,6169538,103a,11520650,2011-01-18,1
1405,6169538,103a,11654363,2011-09-09,0
1406,6169538,103a,11682148,2011-12-08,1
1407,6169538,103a,12221537,2012-09-04,0
1408,6169538,103a,12059215,2012-01-09,0
1410,6169538,102,12727217,2012-05-11,0
1411,6169538,103a,12722422,2012-04-06,0
1412,6169538,103a,12685623,2012-04-09,0
1413,6169538,103a,13037124,2013-04-18,0
1414,6233559,103a,11097641,2011-01-03,0
1415,6233559,102b,12101163,2011-08-24,0
1416,6233559,103a,12101163,2011-08-24,0
1417,6233559,103a,12086402,2012-09-18,0
1418,6483874,103a,11380796,2011-02-04,1
1420,6483874,103a,13224588,2012-01-06,0
1422,7738907,103a,12053866,2011-10-03,0
1423,7738907,103a,12740365,2012-10-30,0
1424,6265977,102,11923244,2011-05-10,0
1425,6265977,103a,11923244,2011-05-10,0
1426,6265977,103a,11923244,2011-10-20,1
1427,6265977,103,12160721,2011-09-21,0
1428,6265977,103a,11759484,2011-03-03,1
1429,6265977,103a,11187392,2012-03-06,0
1430,8244250,103a,13548370,2012-09-25,0
1431,7689448,102e,12392231,2011-01-06,1
1432,7689448,103a,12392231,2011-11-08,1
1433,7689448,103a,12392231,2011-05-03,0
1434,7305555,119,11658480,2011-11-30,0
1435,7305555,103a,11658480,2011-11-30,0
1436,6889385,103a,12433922,2011-03-10,0
1437,6889385,102e,12834406,2011-02-18,0
1438,6889385,103a,11281156,2011-01-12,1
1439,6889385,103a,11925386,2011-03-25,1
1440,6889385,103a,11281156,2011-06-03,0
1441,6889385,103a,11281156,2012-07-06,0
1442,7929701,103a,12139711,2011-06-23,0
1443,6282182,103a,11855919,2011-04-13,0
1444,5796777,103a,12101391,2011-01-04,0
1445,7653422,103a,12065279,2011-02-01,0
1449,6952573,103a,12092140,2011-01-20,1
1450,6952573,103,12222542,2011-05-11,0
1451,6871074,103a,10748088,2011-05-27,1
1452,6347228,103a,13044233,2013-02-26,1
1453,8194648,102,13143140,2013-01-22,0
1454,8194648,103a,13143140,2013-01-22,0
1459,6799062,102,12032589,2011-07-22,0
1460,6799062,103,12032589,2011-07-22,0
1461,6799062,103a,12032589,2011-07-22,0
1462,5909183,103a,11625749,2011-04-29,1
1463,5909183,103a,12098591,2011-06-21,0
1464,5909183,119,12098591,2011-11-08,1
1465,5909183,103a,11960378,2011-08-30,1
1466,5909183,103a,11993568,2011-08-17,1
1467,5909183,103,11993568,2011-02-16,0
1469,5909183,103a,11993568,2011-02-16,0
1470,5909183,103a,11943060,2011-06-07,1
1471,5909183,103a,11993568,2012-10-04,0
1472,8199845,103a,13045021,2012-07-03,0
1473,8199845,103a,13045021,2012-12-31,1
1474,6944427,103a,12164142,2011-03-29,0
1475,5835730,103,13578725,2013-12-30,0
1476,6141541,103a,13018394,2013-07-15,1
1477,5936516,103a,12328860,2011-02-17,0
1478,7453219,102e,12391277,2011-01-03,1
1479,7453219,103a,12391277,2011-01-03,1
1481,7451476,103a,11887287,2011-03-16,1
1483,7451476,103a,11887287,2011-12-20,0
1485,7451476,103a,11887287,2012-07-19,1
1486,6434197,103a,11547038,2011-08-03,0
1488,6434197,103,11448447,2011-03-30,1
1489,6434197,103a,11130773,2011-10-12,0
1490,6434197,103a,11547038,2011-11-29,1
1492,6434197,103a,12390546,2012-02-15,0
1493,7620403,102b,12471046,2012-02-07,0
1494,7620403,103a,12471046,2012-02-07,0
1497,7620403,102b,12471046,2012-07-18,1
1498,7620403,103a,12471046,2012-07-18,1
1502,7620403,103a,12471046,2012-11-23,0
1506,6710578,103a,12070793,2011-10-13,1
1507,6710578,103a,12302559,2011-08-19,1
1508,6710578,103a,12302559,2011-02-18,0
1509,6710578,103a,12070793,2011-02-01,0
1510,6710578,103a,11752483,2011-08-31,0
1511,6710578,103a,12075212,2011-11-02,1
1512,6710578,103a,11752483,2011-02-01,1
1513,6710578,103a,12075212,2011-03-18,0
1514,6710578,103a,12125632,2011-03-30,0
1515,6710578,119,11752483,2012-01-25,1
1516,6710578,103a,12302559,2012-03-14,0
1517,6710578,103a,12302559,2012-08-09,1
1518,6130613,103a,12188084,2011-09-13,0
1519,6130613,103a,12188084,2012-04-30,1
1520,6130613,103a,12188084,2012-10-03,0
1521,7084815,103,13533746,2012-10-24,0
1522,6853445,103a,11426087,2011-02-22,1
1523,6125137,103a,11555656,2011-01-04,1
1524,5754484,103a,12694962,2012-01-03,0
1525,6665521,103a,11557426,2011-08-11,1
1526,6665521,103a,11557426,2011-02-28,0
1527,6665521,103a,11832103,2011-03-15,1
1528,6665521,103a,11557426,2012-03-01,0
1529,6665521,103a,12265897,2012-08-15,0
1530,6647061,103a,10975244,2011-08-18,1
1532,6647061,102b,11226590,2011-01-07,1
1533,6647061,103a,11693694,2011-11-16,0
1534,6647061,103a,10975244,2011-03-03,0
1536,6647061,103a,11226590,2011-03-29,0
1537,6647061,102e,12087464,2012-04-03,1
1538,6647061,102b,11789795,2012-03-27,0
1539,7330174,103a,12337515,2011-07-20,0
1541,7330174,103a,12337515,2011-03-17,0
1543,6880170,103a,12576502,2011-10-24,0
1544,8412209,103a,12740365,2014-05-22,0
1545,6387559,102b,12809826,2012-03-15,0
1546,6387559,103a,12809826,2012-03-15,0
1548,6387559,102b,12809826,2012-08-23,1
1549,6387559,103a,12809826,2012-08-23,1
1553,6242979,103a,11262079,2012-03-26,0
1554,7945255,103a,13146927,2013-04-17,0
1555,6161018,103a,12027524,2011-04-19,1
1556,6161018,103a,12027524,2011-09-27,0
1557,5764899,103a,09783726,2011-11-09,0
1559,5764899,119a,09783726,2011-03-16,0
1560,5764899,103a,09783726,2011-03-16,0
1562,5764899,119a,12039842,2011-01-25,0
1563,5764899,103a,09783726,2011-08-23,1
1565,5764899,103a,13571277,2012-10-02,0
1566,5764899,103a,09783726,2012-04-13,1
1568,5764899,103a,09783726,2013-05-29,1
1596,7940740,102,12365703,2011-08-03,0
1597,7940740,103a,13153293,2011-07-12,0
1598,7940740,103a,12829534,2012-12-07,1
1599,7940740,102e,13331987,2012-11-08,0
1600,7940740,119,13040109,2012-01-06,0
1601,7940740,103a,12712642,2012-07-19,0
1602,7940740,102e,12815865,2012-10-09,0
1603,7940740,103a,12815865,2012-10-09,0
1604,7940740,103a,12829534,2012-03-28,0
1605,7940740,103a,13255236,2013-03-07,0
1606,7940740,103a,13085373,2013-06-03,0
1607,6195342,102e,12302184,2011-08-05,0
1608,6195342,102b,12071528,2011-03-16,0
1609,7277453,103a,10593987,2011-02-14,1
1614,7277453,103a,12353697,2011-09-30,0
1615,7277453,103a,10593987,2011-11-07,1
1620,7277453,103a,10593987,2011-06-06,0
1625,6465119,102,12129626,2011-03-29,0
1626,6465119,103a,12983969,2012-07-05,1
1627,6465119,103,12983969,2012-01-26,0
1628,6465119,103a,12983969,2012-01-26,0
1629,6465119,103a,12530717,2014-03-28,0
1632,6429811,102e,13237550,2012-11-01,0
1633,6694149,102b,12393159,2011-10-25,0
1634,6694149,103a,12393159,2011-10-25,0
1635,6907019,103a,11432897,2011-03-10,0
1636,6907019,103a,11432897,2011-10-27,1
1637,7173606,103a,11856435,2011-04-22,0
1638,7173606,103a,11856435,2011-09-27,1
1639,6211819,103a,11833962,2011-11-17,1
1640,6211819,103a,11833962,2012-07-05,0
1641,6212382,103a,11848711,2011-05-24,0
1642,6212382,103a,12908639,2012-04-16,0
1643,6128763,102b,13156098,2012-10-22,0
1644,7079872,103a,12482543,2011-06-08,0
1645,5627931,102b,12805952,2012-10-01,0
1647,7680118,102b,12701992,2012-07-05,0
1648,7680118,103a,12948567,2013-01-29,0
1649,7680118,103a,12948567,2013-05-30,1
1650,6660427,102b,13031716,2012-08-14,0
1651,6660427,102b,13031716,2012-12-03,1
1652,6741554,103a,12545181,2011-08-08,0
1653,6741554,102b,12545181,2011-03-22,0
1654,6016312,103,12183275,2011-07-25,0
1655,5838740,103a,12036855,2011-02-03,0
1656,5838740,103a,12933416,2012-12-27,0
1657,5838740,102b,13346628,2012-07-25,0
1658,5838740,103a,12702895,2012-10-11,0
1659,5838740,102b,13346628,2013-03-13,1
1660,6600928,103a,11530675,2011-02-14,1
1661,6600928,103a,10993472,2011-03-14,1
1663,7117009,103a,12400240,2011-10-03,0
1665,7117009,103a,13452235,2012-08-02,1
1667,7117009,103,11742054,2013-12-03,1
1668,7117009,103a,11742054,2013-12-03,1
1669,6453160,103a,11635804,2011-07-21,0
1671,5699365,103,12097576,2011-05-25,0
1672,5699365,102b,12029282,2011-10-27,0
1673,5699365,103,12097576,2011-11-08,1
1674,5729219,103a,11869985,2011-02-01,1
1676,5729219,103a,11620424,2011-04-26,0
1677,5729219,102b,12503314,2011-09-29,0
1678,5729219,103a,12729689,2012-07-02,0
1680,5729219,103a,12503314,2012-03-21,1
1681,6415252,103a,11830548,2011-08-25,0
1682,7787870,103a,12849495,2012-09-11,0
1683,7453831,103a,11718006,2011-06-27,1
1684,7453831,103a,11718006,2011-02-03,0
1685,6724170,103a,10790627,2011-07-06,0
1687,6724170,103a,10790627,2011-02-28,1
1690,7010657,103a,11649258,2014-05-13,1
1691,7010657,103a,11649258,2014-12-24,1
1692,7010657,103a,11649258,2014-02-05,0
1693,7010657,103a,11649258,2014-09-04,0
1694,7099684,103a,13007068,2012-09-24,1
1697,7099684,103a,13007068,2012-04-26,0
1700,7340221,103a,12906052,2011-05-05,0
1701,7499689,103a,12461661,2011-05-27,0
1702,6570861,103a,12047590,2011-05-19,1
1703,6570861,103a,12047590,2011-01-12,0
1704,6570861,103a,11444657,2011-02-18,1
1705,6185433,103a,09734852,2011-05-09,1
1713,6469997,103a,11359503,2011-10-17,1
1714,6469997,103a,11359503,2011-02-17,0
1715,6430228,103a,11590398,2011-09-06,0
1719,6430228,103a,11590398,2011-03-18,0
1722,6430228,103a,11590398,2012-02-15,1
1726,6744740,103,10795251,2011-04-15,1
1727,6744740,112,12415523,2011-01-11,0
1728,6744740,103a,11936774,2011-03-03,0
1729,6744740,103a,11750028,2011-10-17,0
1730,6744740,103a,12101333,2011-06-07,1
1734,6744740,103a,11750028,2011-04-29,1
1735,6744740,103a,11470812,2011-09-26,1
1736,6744740,103a,12101333,2011-01-24,0
1739,6744740,103a,11470812,2011-04-11,0
1740,6744740,103a,11470812,2012-07-11,0
1741,7310423,103a,12307391,2011-04-22,0
1742,7492753,103a,13356547,2012-11-29,0
1744,6909761,103a,11926327,2011-04-19,1
1745,6909761,102b,12901003,2012-09-20,0
1746,7213062,103a,11499182,2011-05-25,0
1747,7213062,102,13255328,2013-04-10,0
1748,6526581,103a,10676429,2011-10-03,0
1750,6526581,102e,12168425,2011-03-09,0
1751,6526581,103a,12168425,2011-03-09,0
1760,6526581,103a,11969870,2011-03-29,0
1767,6526581,103a,10676429,2011-03-03,1
1769,6526581,103a,11636998,2011-10-25,0
1770,6526581,103a,13015695,2012-01-18,0
1771,6526581,103a,13015695,2012-06-20,1
1772,6526581,103a,10676429,2012-02-13,1
1774,6671525,103a,11621957,2011-09-23,0
1775,6671525,103a,11621957,2011-04-19,1
1776,6671525,103a,12683522,2012-03-22,0
1777,6728531,103a,12484300,2011-09-01,0
1778,6728531,103a,11624552,2011-01-21,1
1780,6728531,103a,09988241,2011-02-11,0
1781,7016475,132a,11631611,2011-11-29,0
1782,5665265,103a,12180509,2011-04-14,1
1783,5665265,103a,12180509,2012-03-13,0
1784,7729433,102e,12630627,2011-03-16,0
1785,6807563,101,11378163,2011-01-07,1
1786,6807563,102,11854301,2011-05-16,0
1787,6807563,103a,11854301,2011-11-25,0
1788,5637418,103a,13050378,2013-01-10,0
1789,6643541,103a,12085657,2011-08-02,0
1790,6643541,103a,12935000,2012-10-02,0
1791,6519239,103a,12025683,2011-04-25,0
1793,6519239,102b,12130069,2011-03-24,0
1794,6519239,102b,12130069,2011-07-21,0
1795,6519239,103a,12025683,2011-10-17,1
1797,6091969,103a,12904900,2012-05-10,0
1798,6762723,103a,12325366,2011-02-02,0
1799,5974085,103a,12953604,2011-05-11,0
1800,6072790,103a,11255270,2012-12-20,0
1801,6072790,103,11255270,2013-06-20,1
1802,6996172,101,11777918,2011-12-19,0
1803,7509259,103a,11460075,2011-02-15,1
1804,6438360,103a,11876037,2011-02-04,0
1805,6438360,103a,11876037,2011-07-21,1
1806,6731940,103a,12574242,2011-03-30,0
1807,6731940,103a,12574242,2011-09-15,1
