app_number,patent_number,blocked_app,blocking_type,patent_pub_year,blocking_month
"08/749,577",6161207,12494957,103a,2000,25
"09/131,143",6327307,13126040,103a,2001,25
"08/578,115",5966651,11233069,103a,1999,11
"10/068,443",7158482,10816385,103a,2007,3
"09/013,850",6310898,11729927,103a,2001,4
"09/013,850",6310898,11729927,103a,2001,4
"09/013,850",6310898,11729927,103a,2001,4
"09/013,850",6310898,11729927,103a,2001,7
"09/013,850",6310898,11729927,103a,2001,7
"09/013,850",6310898,11729927,103a,2001,7
"10/733,661",7096025,11199081,103a,2006,7
"10/733,661",7096025,11199081,103a,2006,13
"08/884,892",6094565,12055853,102b,2000,7
"08/884,892",6094565,12471217,102e,2000,7
"08/884,892",6094565,12055853,103a,2000,14
"08/572,468",5893132,9344492,103a,1999,2
"08/572,468",5893132,11549720,103a,1999,6
"10/207,589",7375730,12717345,103a,2008,17
"08/560,732",5949948,11831916,103a,1999,3
"08/560,732",5949948,11831916,103a,1999,9
"08/560,732",5949948,12957148,103a,1999,22
"09/356,389",6144186,12195618,103a,2000,11
"09/356,389",6144186,12195618,103a,2000,11
"09/356,389",6144186,12195618,103a,2000,11
"09/356,389",6144186,12195618,103a,2000,11
"09/356,389",6144186,12195618,103a,2000,11
"09/356,389",6144186,12195618,102b,2000,3
"09/356,389",6144186,12195618,103a,2000,3
"09/356,389",6144186,12195618,103a,2000,3
"09/356,389",6144186,12195618,103a,2000,3
"09/356,389",6144186,12195618,103a,2000,6
"09/356,389",6144186,12195618,103a,2000,6
"09/356,389",6144186,12195618,103a,2000,6
"09/356,389",6144186,12195618,103a,2000,6
"09/356,389",6144186,12195618,103a,2000,6
"09/917,185",6859494,11638838,103a,2005,8
"09/917,185",6859494,11638838,103a,2005,13
"09/634,609",6912507,12187775,103a,2005,10
"09/634,609",6912507,12187775,103a,2005,6
"09/634,609",6912507,13250791,112,2005,19
"08/786,579",6212550,12399004,102b,2001,4
"08/786,579",6212550,12077822,102e,2001,6
"08/786,579",6212550,13445884,103,2001,26
"08/786,579",6212550,13445884,103a,2001,26
"09/737,720",6668173,10265980,103a,2003,1
"09/737,720",6668173,11466781,103a,2003,1
"09/737,720",6668173,13216511,103a,2003,24
"09/737,720",6668173,11000667,103a,2003,15
"09/737,720",6668173,13216511,119,2003,16
"09/737,720",6668173,13216511,103a,2003,16
"09/737,720",6668173,11000667,103a,2003,22
"11/838,536",8145127,12819355,103a,2012,35
"10/317,529",6954649,11449274,103a,2005,3
"10/317,529",6954649,11449274,103a,2005,10
"08/791,043",5926104,13108925,103a,1999,15
"08/829,074",6104726,11932726,102e,2000,8
"08/829,074",6104726,11932726,103a,2000,8
"09/777,767",6862433,12392456,103a,2005,4
"09/777,767",6862433,12392456,103a,2005,4
"09/777,767",6862433,12392456,103a,2005,4
"09/777,767",6862433,10600209,103a,2005,8
"09/777,767",6862433,12132549,103a,2005,3
"09/777,767",6862433,12592469,103a,2005,8
"09/624,402",6720864,12089690,103a,2004,8
"09/624,402",6720864,12089690,103a,2004,8
"09/624,402",6720864,12089690,103a,2004,8
"09/624,402",6720864,12089690,103a,2004,20
"09/624,402",6720864,12089690,103a,2004,20
"09/624,402",6720864,12089690,103a,2004,20
"09/624,402",6720864,12089690,103a,2004,20
"09/252,135",6259741,13018709,103a,2001,4
"09/252,135",6259741,13019090,103a,2001,6
"10/203,778",6963730,11784883,103a,2005,11
"10/203,778",6963730,11784883,103a,2005,4
"09/468,025",6449465,12400764,103a,2002,11
"09/468,025",6449465,11670931,103a,2002,1
"09/468,025",6449465,13461697,102b,2002,18
"10/356,901",7184745,12498632,102b,2007,10
"10/356,901",7184745,12498632,103a,2007,10
"10/356,901",7184745,12498632,103a,2007,10
"10/356,901",7184745,12498632,103a,2007,10
"10/356,901",7184745,12498632,102b,2007,6
"10/356,901",7184745,12498632,103a,2007,6
"10/356,901",7184745,12498632,103a,2007,6
"10/356,901",7184745,12498632,103a,2007,6
"10/356,901",7184745,12498632,103a,2007,19
"10/356,901",7184745,12498632,103a,2007,19
"10/108,407",6847311,12391571,102b,2005,12
"10/108,407",6847311,12391571,103a,2005,12
"10/108,407",6847311,12391571,102b,2005,16
"10/108,407",6847311,12391571,103a,2005,16
"09/613,798",6889212,12335046,103a,2005,8
"09/613,798",6889212,12335046,103a,2005,3
"08/580,265",6055333,10183991,103a,2000,3
"08/580,265",6055333,10183991,103a,2000,12
"10/020,328",6640087,13118051,103a,2003,11
"10/020,328",6640087,11295896,119,2003,11
"10/020,328",6640087,11295896,119a,2003,3
"10/020,328",6640087,12367293,102b,2003,9
"10/020,328",6640087,13138516,103a,2003,32
"10/020,328",6640087,13138516,103a,2003,32
"10/020,328",6640087,13138516,103a,2003,32
"10/020,328",6640087,13138516,103a,2003,38
"10/020,328",6640087,13138516,103a,2003,38
"10/020,328",6640087,13138516,103a,2003,38
"11/252,726",7653398,13037079,103a,2010,22
"09/358,674",6556814,12887467,102b,2003,4
"09/358,674",6556814,12887467,103a,2003,9
"09/358,674",6556814,12887467,102b,2003,21
"09/358,674",6556814,12887467,103a,2003,25
"10/037,559",6947760,11048766,103a,2005,1
"09/219,913",6289129,13190110,103,2001,24
"11/956,640",8036237,12731984,103,2011,13
"09/415,168",6192256,12130396,102b,2001,3
"09/415,168",6192256,11985325,103a,2001,4
"09/415,168",6192256,11985325,103a,2001,4
"09/616,109",6931059,12949957,103,2005,23
"09/616,109",6931059,12949957,103a,2005,23
"10/372,981",7082290,13152170,103a,2006,21
"10/372,981",7082290,13152170,103a,2006,21
"10/372,981",7082290,13152170,103a,2006,21
"10/372,981",7082290,13152170,103a,2006,21
"10/372,981",7082290,13152170,103a,2006,21
"10/372,981",7082290,13152170,102e,2006,25
"10/372,981",7082290,13152170,103a,2006,25
"10/372,981",7082290,13152170,103a,2006,25
"10/372,981",7082290,13152170,103a,2006,25
"10/372,981",7082290,13152170,103a,2006,25
"08/572,603",5815407,12855256,103a,1998,21
"08/572,603",5815407,12855256,103a,1998,21
"08/572,603",5815407,12855256,103a,1998,21
"08/572,603",5815407,12855256,103a,1998,21
"08/572,603",5815407,12855256,103a,1998,21
"08/572,603",5815407,12855256,103a,1998,28
"08/572,603",5815407,12855256,103a,1998,28
"08/572,603",5815407,12855256,103a,1998,28
"08/572,603",5815407,12855256,103a,1998,28
"08/572,603",5815407,12855256,103a,1998,28
"08/995,922",6112074,11974023,103a,2000,2
"11/613,349",7477699,12164718,102b,2009,3
"11/613,349",7477699,12164718,102b,2009,8
"11/132,643",7643817,12034989,103a,2010,2
"11/110,126",7269561,12810384,103a,2007,20
"11/110,126",7269561,12810384,103a,2007,26
"09/393,097",6246327,10586738,103a,2001,2
"09/737,152",6961384,12187352,103,2005,8
"09/737,152",6961384,11817686,103a,2005,10
"09/127,348",6223154,11092372,103a,2001,2
"09/127,348",6223154,11092372,103a,2001,2
"09/644,528",6493671,12393641,103a,2002,2
"09/644,528",6493671,12393641,103a,2002,2
"10/140,148",6792534,11119408,103a,2004,2
"08/980,435",5929702,12671656,102b,1999,10
"08/980,435",5929702,12671656,103a,1999,10
"09/925,199",6797427,11965035,102b,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,103a,2004,8
"09/925,199",6797427,11965035,102b,2004,6
"09/925,199",6797427,11965035,102b,2004,6
"09/925,199",6797427,11965035,103a,2004,15
"08/608,020",5736933,12956834,103a,1998,24
"10/889,502",7733919,12583369,119,2010,13
"09/610,023",6741873,11378364,103a,2004,4
"09/610,023",6741873,11378364,103a,2004,10
"09/630,987",6384727,10586738,103a,2002,6
"09/630,987",6384727,10586738,103a,2002,2
"09/258,985",6505058,12052500,102b,2003,6
"09/258,985",6505058,12052500,102b,2003,13
"10/919,819",7312729,12194605,103a,2007,15
"09/020,838",6226403,12194780,102b,2001,20
"09/908,898",6498358,13038421,103a,2002,22
"10/184,286",6766147,11470738,102b,2004,2
"10/184,286",6766147,11470738,103a,2004,2
"10/184,286",6766147,11470738,103a,2004,2
"10/184,286",6766147,11470738,103a,2004,2
"10/184,286",6766147,11470738,103a,2004,11
"10/184,286",6766147,11470738,103a,2004,11
"10/184,286",6766147,11470738,103a,2004,11
"10/184,286",6766147,11470738,103a,2004,8
"10/184,286",6766147,11470738,103a,2004,8
"10/184,286",6766147,11470738,103a,2004,8
"10/184,286",6766147,11470738,103a,2004,18
"10/184,286",6766147,11470738,103a,2004,18
"09/069,586",6188767,10683761,102,2001,1
"09/822,653",7117019,12197789,103a,2006,5
"09/822,653",7117019,12197789,103a,2006,4
"09/822,653",7117019,12197789,103a,2006,11
"09/390,562",6249678,12533651,103a,2001,32
"09/390,562",6249678,12533651,103a,2001,36
"08/857,399",6151397,12905794,103a,2000,25
"09/961,941",6888811,12904085,102e,2005,3
"09/961,941",6888811,13225848,103a,2005,14
"09/410,780",6122335,12393737,103a,2000,15
"09/575,749",7206847,12162468,103a,2007,17
"08/998,749",5942938,13017042,103a,1999,9
"08/879,403",5867478,10477250,103a,1999,7
"08/879,403",5867478,11957617,102b,1999,1
"08/879,403",5867478,11957617,103a,1999,1
"08/879,403",5867478,11957617,103a,1999,1
"08/879,403",5867478,11957617,103a,1999,1
"08/879,403",5867478,12000291,103a,1999,1
"08/879,403",5867478,11242115,103a,1999,2
"08/879,403",5867478,12052842,103a,1999,3
"08/879,403",5867478,12052842,103a,1999,3
"08/879,403",5867478,12052842,103a,1999,3
"08/879,403",5867478,12052842,103a,1999,3
"08/879,403",5867478,11957617,103a,1999,5
"08/879,403",5867478,11957617,103a,1999,5
"08/879,403",5867478,11957617,103a,1999,5
"08/879,403",5867478,12629571,103a,1999,24
"08/879,403",5867478,12189437,102,1999,14
"08/879,403",5867478,12189437,103c,1999,14
"08/879,403",5867478,12189437,103a,1999,14
"08/879,403",5867478,12629571,103a,1999,13
"08/879,403",5867478,12189437,102,1999,20
"08/879,403",5867478,12189437,103c,1999,20
"08/879,403",5867478,12189437,103a,1999,20
"08/879,403",5867478,13445263,103a,1999,21
"08/879,403",5867478,12712093,103a,1999,20
"08/879,403",5867478,10477250,103a,1999,13
"08/879,403",5867478,12601840,112,1999,19
"08/879,403",5867478,12712093,103a,1999,13
"08/879,403",5867478,12629571,103a,1999,28
"09/707,537",6529804,11770671,103a,2003,6
"09/707,537",6529804,11770671,103a,2003,1
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,12161573,103a,2000,12
"08/940,299",6134237,11516885,103a,2000,2
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,12161573,103a,2000,6
"08/940,299",6134237,11231886,103a,2000,2
"08/940,299",6134237,11231886,103a,2000,2
"08/940,299",6134237,11231886,103a,2000,2
"08/940,299",6134237,11231886,103a,2000,2
"08/940,299",6134237,11231886,103a,2000,2
"11/024,895",7499950,11876709,103a,2009,4
"11/024,895",7499950,11876709,103a,2009,12
"10/027,419",6700867,11670639,103a,2004,1
"10/027,419",6700867,12840131,103a,2004,18
"10/027,419",6700867,12840131,103a,2004,26
"11/025,304",7386128,11275183,103a,2008,6
"10/331,290",7522675,10978931,103a,2009,2
"09/742,905",7065068,11238791,103a,2006,3
"08/718,838",5825762,11556855,103a,1998,19
"11/531,913",7912009,12935852,103a,2011,24
"09/901,809",6836514,11929512,103a,2004,4
"09/901,809",6836514,11447116,103a,2004,2
"08/718,636",6173330,12815022,102e,2001,1
"08/718,636",6173330,11486267,103a,2001,19
"10/259,638",7363044,11851685,103a,2008,14
"08/715,508",6014376,12433532,103a,2000,1
"08/715,508",6014376,13257110,102b,2000,37
"10/185,958",6792281,11860051,103a,2004,16
"10/185,958",6792281,11860051,102b,2004,16
"08/814,395",6373884,12032011,103a,2002,2
"08/814,395",6373884,12032011,103a,2002,7
"11/425,161",7634251,12362203,103a,2009,4
"11/425,161",7634251,12362203,103a,2009,4
"11/425,161",7634251,12362203,103a,2009,11
"11/425,161",7634251,12362203,103a,2009,11
"11/425,161",7634251,12362203,103a,2009,16
"11/425,161",7634251,12362203,103a,2009,16
"11/425,161",7634251,12362203,103a,2009,42
"11/428,034",7886355,12482471,103a,2011,5
"08/684,758",5741609,12708807,103,1998,16
"08/684,758",5741609,12708807,103a,1998,16
"08/684,758",5741609,12708807,103a,1998,16
"09/315,908",6175740,11823181,102,2001,11
"09/315,908",6175740,12165224,119a,2001,1
"09/315,908",6175740,12165224,103a,2001,10
"09/315,908",6175740,11823181,102b,2001,5
"09/315,908",6175740,12165224,103a,2001,14
"09/505,336",6754908,11275183,103a,2004,6
"09/505,336",6754908,12850121,103a,2004,21
"11/147,092",7388923,12412797,102b,2008,18
"09/640,296",6347882,12476067,103a,2002,5
"09/640,296",6347882,12476067,103a,2002,13
"09/344,770",6192247,11569237,103a,2001,6
"10/912,855",7187759,11771968,103a,2007,7
"09/621,516",6904611,12396452,103a,2005,8
"09/133,751",6169538,10602540,103a,2001,6
"09/133,751",6169538,11771096,103a,2001,1
"09/133,751",6169538,11771096,103a,2001,1
"09/133,751",6169538,11771096,103a,2001,1
"09/133,751",6169538,11771096,103a,2001,1
"09/133,751",6169538,11925619,103a,2001,8
"09/133,751",6169538,11635689,103a,2001,10
"09/133,751",6169538,11771096,103a,2001,10
"09/133,751",6169538,11771096,103a,2001,10
"09/133,751",6169538,11771096,103a,2001,10
"09/133,751",6169538,11771096,103a,2001,10
"09/133,751",6169538,11635689,103a,2001,2
"09/133,751",6169538,12059215,103a,2001,1
"09/133,751",6169538,11682148,103a,2001,4
"09/133,751",6169538,12059215,103a,2001,7
"09/133,751",6169538,12059215,103a,2001,7
"09/133,751",6169538,11925619,103a,2001,2
"09/133,751",6169538,11520650,103a,2001,7
"09/133,751",6169538,11635689,103a,2001,7
"09/133,751",6169538,11520650,103a,2001,1
"09/133,751",6169538,11654363,103a,2001,9
"09/133,751",6169538,11682148,103a,2001,12
"09/133,751",6169538,12221537,103a,2001,21
"09/133,751",6169538,12059215,103a,2001,13
"09/133,751",6169538,12059215,103a,2001,13
"09/133,751",6169538,12727217,102,2001,17
"09/133,751",6169538,12722422,103a,2001,16
"09/133,751",6169538,12685623,103a,2001,16
"09/133,751",6169538,13037124,103a,2001,28
"09/053,432",6233559,11097641,103a,2001,1
"09/053,432",6233559,12101163,102b,2001,8
"09/053,432",6233559,12101163,103a,2001,8
"09/053,432",6233559,12086402,103a,2001,21
"09/238,838",6483874,11380796,103a,2002,2
"09/238,838",6483874,11380796,103a,2002,2
"09/238,838",6483874,13224588,103a,2002,13
"09/238,838",6483874,13224588,103a,2002,13
"11/676,357",7738907,12053866,103a,2010,10
"11/676,357",7738907,12740365,103a,2010,22
"09/638,414",6265977,11923244,102,2001,5
"09/638,414",6265977,11923244,103a,2001,5
"09/638,414",6265977,11923244,103a,2001,10
"09/638,414",6265977,12160721,103,2001,9
"09/638,414",6265977,11759484,103a,2001,3
"09/638,414",6265977,11187392,103a,2001,15
"12/243,590",8244250,13548370,103a,2012,21
"09/968,299",7689448,12392231,102e,2010,1
"09/968,299",7689448,12392231,103a,2010,11
"09/968,299",7689448,12392231,103a,2010,5
"10/109,111",7305555,11658480,119,2007,11
"10/109,111",7305555,11658480,103a,2007,11
"09/602,265",6889385,12433922,103a,2005,3
"09/602,265",6889385,12834406,102e,2005,2
"09/602,265",6889385,11281156,103a,2005,1
"09/602,265",6889385,11925386,103a,2005,3
"09/602,265",6889385,11281156,103a,2005,6
"09/602,265",6889385,11281156,103a,2005,19
"10/049,812",7929701,12139711,103a,2011,6
"09/479,042",6282182,11855919,103a,2001,4
"08/607,752",5796777,12101391,103a,1998,1
"11/364,373",7653422,12065279,103a,2010,2
"11/364,373",7653422,12065279,103a,2010,2
"11/364,373",7653422,12065279,103a,2010,2
"11/364,373",7653422,12065279,103a,2010,2
"10/665,954",6952573,12092140,103a,2005,1
"10/665,954",6952573,12222542,103,2005,5
"10/057,365",6871074,10748088,103a,2005,5
"09/327,652",6347228,13044233,103a,2002,26
"12/526,080",8194648,13143140,102,2012,25
"12/526,080",8194648,13143140,103a,2012,25
"12/526,080",8194648,13143140,103a,2012,25
"12/526,080",8194648,13143140,103a,2012,25
"12/526,080",8194648,13143140,103a,2012,25
"12/526,080",8194648,13143140,103a,2012,25
"09/692,333",6799062,12032589,102,2004,7
"09/692,333",6799062,12032589,103,2004,7
"09/692,333",6799062,12032589,103a,2004,7
"08/774,977",5909183,11625749,103a,1999,4
"08/774,977",5909183,12098591,103a,1999,6
"08/774,977",5909183,12098591,119,1999,11
"08/774,977",5909183,11960378,103a,1999,8
"08/774,977",5909183,11993568,103a,1999,8
"08/774,977",5909183,11993568,103,1999,2
"08/774,977",5909183,11993568,103,1999,2
"08/774,977",5909183,11993568,103a,1999,2
"08/774,977",5909183,11943060,103a,1999,6
"08/774,977",5909183,11993568,103a,1999,22
"12/469,306",8199845,13045021,103a,2012,19
"12/469,306",8199845,13045021,103a,2012,24
"10/355,920",6944427,12164142,103a,2005,3
"08/688,841",5835730,13578725,103,1998,36
"09/001,762",6141541,13018394,103a,2000,31
"08/797,648",5936516,12328860,103a,1999,2
"10/608,309",7453219,12391277,102e,2008,1
"10/608,309",7453219,12391277,103a,2008,1
"10/608,309",7453219,12391277,103a,2008,1
"09/597,315",7451476,11887287,103a,2008,3
"09/597,315",7451476,11887287,103a,2008,3
"09/597,315",7451476,11887287,103a,2008,12
"09/597,315",7451476,11887287,103a,2008,12
"09/597,315",7451476,11887287,103a,2008,19
"09/226,796",6434197,11547038,103a,2002,8
"09/226,796",6434197,11547038,103a,2002,8
"09/226,796",6434197,11448447,103,2002,3
"09/226,796",6434197,11130773,103a,2002,10
"09/226,796",6434197,11547038,103a,2002,11
"09/226,796",6434197,11547038,103a,2002,11
"09/226,796",6434197,12390546,103a,2002,14
"11/194,010",7620403,12471046,102b,2009,14
"11/194,010",7620403,12471046,103a,2009,14
"11/194,010",7620403,12471046,103a,2009,14
"11/194,010",7620403,12471046,103a,2009,14
"11/194,010",7620403,12471046,102b,2009,19
"11/194,010",7620403,12471046,103a,2009,19
"11/194,010",7620403,12471046,103a,2009,19
"11/194,010",7620403,12471046,103a,2009,19
"11/194,010",7620403,12471046,103a,2009,19
"11/194,010",7620403,12471046,103a,2009,23
"11/194,010",7620403,12471046,103a,2009,23
"11/194,010",7620403,12471046,103a,2009,23
"11/194,010",7620403,12471046,103a,2009,23
"10/228,592",6710578,12070793,103a,2004,10
"10/228,592",6710578,12302559,103a,2004,8
"10/228,592",6710578,12302559,103a,2004,2
"10/228,592",6710578,12070793,103a,2004,2
"10/228,592",6710578,11752483,103a,2004,8
"10/228,592",6710578,12075212,103a,2004,11
"10/228,592",6710578,11752483,103a,2004,2
"10/228,592",6710578,12075212,103a,2004,3
"10/228,592",6710578,12125632,103a,2004,3
"10/228,592",6710578,11752483,119,2004,13
"10/228,592",6710578,12302559,103a,2004,15
"10/228,592",6710578,12302559,103a,2004,20
"09/152,202",6130613,12188084,103a,2000,9
"09/152,202",6130613,12188084,103a,2000,16
"09/152,202",6130613,12188084,103a,2000,22
"10/807,524",7084815,13533746,103,2006,22
"10/041,052",6853445,11426087,103a,2005,2
"09/151,610",6125137,11555656,103a,2000,1
"08/645,308",5754484,12694962,103a,1998,13
"09/640,515",6665521,11557426,103a,2003,8
"09/640,515",6665521,11557426,103a,2003,2
"09/640,515",6665521,11832103,103a,2003,3
"09/640,515",6665521,11557426,103a,2003,15
"09/640,515",6665521,12265897,103a,2003,20
"09/590,928",6647061,10975244,103a,2003,8
"09/590,928",6647061,10975244,103a,2003,8
"09/590,928",6647061,11226590,102b,2003,1
"09/590,928",6647061,11693694,103a,2003,11
"09/590,928",6647061,10975244,103a,2003,3
"09/590,928",6647061,10975244,103a,2003,3
"09/590,928",6647061,11226590,103a,2003,3
"09/590,928",6647061,12087464,102e,2003,16
"09/590,928",6647061,11789795,102b,2003,15
"10/401,200",7330174,12337515,103a,2008,7
"10/401,200",7330174,12337515,103a,2008,7
"10/401,200",7330174,12337515,103a,2008,3
"10/401,200",7330174,12337515,103a,2008,3
"09/473,871",6880170,12576502,103a,2005,10
"11/764,236",8412209,12740365,103a,2013,41
"09/618,399",6387559,12809826,102b,2002,15
"09/618,399",6387559,12809826,103a,2002,15
"09/618,399",6387559,12809826,103a,2002,15
"09/618,399",6387559,12809826,102b,2002,20
"09/618,399",6387559,12809826,103a,2002,20
"09/618,399",6387559,12809826,103a,2002,20
"09/618,399",6387559,12809826,102b,2002,20
"09/618,399",6387559,12809826,103a,2002,20
"09/510,872",6242979,11262079,103a,2001,15
"12/189,928",7945255,13146927,103a,2011,28
"09/032,007",6161018,12027524,103a,2000,4
"09/032,007",6161018,12027524,103a,2000,9
"90/010,890",5764899,9783726,103a,1998,11
"90/010,890",5764899,9783726,103a,1998,11
"90/010,890",5764899,9783726,119a,1998,3
"90/010,890",5764899,9783726,103a,1998,3
"90/010,890",5764899,9783726,103a,1998,3
"90/010,890",5764899,12039842,119a,1998,1
"90/010,890",5764899,9783726,103a,1998,8
"90/010,890",5764899,9783726,103a,1998,8
"90/010,890",5764899,13571277,103a,1998,22
"90/010,890",5764899,9783726,103a,1998,16
"90/010,890",5764899,9783726,103a,1998,16
"90/010,890",5764899,9783726,103a,1998,29
"90/010,890",5764899,9783726,103a,1998,29
"90/009,286",5764899,9783726,103a,1998,11
"90/009,286",5764899,9783726,103a,1998,11
"90/009,286",5764899,9783726,119a,1998,3
"90/009,286",5764899,9783726,103a,1998,3
"90/009,286",5764899,9783726,103a,1998,3
"90/009,286",5764899,12039842,119a,1998,1
"90/009,286",5764899,9783726,103a,1998,8
"90/009,286",5764899,9783726,103a,1998,8
"90/009,286",5764899,13571277,103a,1998,22
"90/009,286",5764899,9783726,103a,1998,16
"90/009,286",5764899,9783726,103a,1998,16
"90/009,286",5764899,9783726,103a,1998,29
"90/009,286",5764899,9783726,103a,1998,29
"08/574,737",5764899,9783726,103a,1998,11
"08/574,737",5764899,9783726,103a,1998,11
"08/574,737",5764899,9783726,119a,1998,3
"08/574,737",5764899,9783726,103a,1998,3
"08/574,737",5764899,9783726,103a,1998,3
"08/574,737",5764899,12039842,119a,1998,1
"08/574,737",5764899,9783726,103a,1998,8
"08/574,737",5764899,9783726,103a,1998,8
"08/574,737",5764899,13571277,103a,1998,22
"08/574,737",5764899,9783726,103a,1998,16
"08/574,737",5764899,9783726,103a,1998,16
"08/574,737",5764899,9783726,103a,1998,29
"08/574,737",5764899,9783726,103a,1998,29
"12/365,166",7940740,12365703,102,2011,8
"12/365,166",7940740,13153293,103a,2011,7
"12/365,166",7940740,12829534,103a,2011,24
"12/365,166",7940740,13331987,102e,2011,23
"12/365,166",7940740,13040109,119,2011,13
"12/365,166",7940740,12712642,103a,2011,19
"12/365,166",7940740,12815865,102e,2011,22
"12/365,166",7940740,12815865,103a,2011,22
"12/365,166",7940740,12829534,103a,2011,15
"12/365,166",7940740,13255236,103a,2011,27
"12/365,166",7940740,13085373,103a,2011,30
"08/977,913",6195342,12302184,102e,2001,8
"08/977,913",6195342,12071528,102b,2001,3
"10/448,555",7277453,10593987,103a,2007,2
"10/448,555",7277453,10593987,103a,2007,2
"10/448,555",7277453,10593987,103a,2007,2
"10/448,555",7277453,10593987,103a,2007,2
"10/448,555",7277453,10593987,103a,2007,2
"10/448,555",7277453,12353697,103a,2007,9
"10/448,555",7277453,10593987,103a,2007,11
"10/448,555",7277453,10593987,103a,2007,11
"10/448,555",7277453,10593987,103a,2007,11
"10/448,555",7277453,10593987,103a,2007,11
"10/448,555",7277453,10593987,103a,2007,11
"10/448,555",7277453,10593987,103a,2007,6
"10/448,555",7277453,10593987,103a,2007,6
"10/448,555",7277453,10593987,103a,2007,6
"10/448,555",7277453,10593987,103a,2007,6
"10/448,555",7277453,10593987,103a,2007,6
"09/619,232",6465119,12129626,102,2002,3
"09/619,232",6465119,12983969,103a,2002,19
"09/619,232",6465119,12983969,103,2002,13
"09/619,232",6465119,12983969,103a,2002,13
"09/619,232",6465119,12530717,103a,2002,39
"09/619,232",6465119,12530717,103a,2002,39
"09/619,232",6465119,12530717,103a,2002,39
"09/504,152",6429811,13237550,102e,2002,23
"09/469,868",6694149,12393159,102b,2004,10
"09/469,868",6694149,12393159,103a,2004,10
"10/647,776",6907019,11432897,103a,2005,3
"10/647,776",6907019,11432897,103a,2005,10
"10/661,860",7173606,11856435,103a,2007,4
"10/661,860",7173606,11856435,103a,2007,9
"09/384,493",6211819,11833962,103a,2001,11
"09/384,493",6211819,11833962,103a,2001,19
"08/817,043",6212382,11848711,103a,2001,5
"08/817,043",6212382,12908639,103a,2001,16
"09/145,091",6128763,13156098,102b,2000,22
"10/689,488",7079872,12482543,103a,2006,6
"08/654,488",5627931,12805952,102b,1997,22
"08/654,488",5627931,12805952,102b,1997,22
"11/404,326",7680118,12701992,102b,2010,19
"11/404,326",7680118,12948567,103a,2010,25
"11/404,326",7680118,12948567,103a,2010,29
"09/706,283",6660427,13031716,102b,2003,20
"09/706,283",6660427,13031716,102b,2003,24
"10/222,317",6741554,12545181,103a,2004,8
"10/222,317",6741554,12545181,102b,2004,3
"08/808,275",6016312,12183275,103,2000,7
"08/633,636",5838740,12036855,103a,1998,2
"08/633,636",5838740,12933416,103a,1998,24
"08/633,636",5838740,13346628,102b,1998,19
"08/633,636",5838740,12702895,103a,1998,22
"08/633,636",5838740,13346628,102b,1998,27
"09/706,558",6600928,11530675,103a,2003,2
"09/706,558",6600928,10993472,103a,2003,3
"09/706,558",6600928,10993472,103a,2003,3
"10/324,437",7117009,12400240,103a,2006,10
"10/324,437",7117009,12400240,103a,2006,10
"10/324,437",7117009,13452235,103a,2006,20
"10/324,437",7117009,13452235,103a,2006,20
"10/324,437",7117009,11742054,103,2006,36
"10/324,437",7117009,11742054,103a,2006,36
"09/629,633",6453160,11635804,103a,2002,7
"09/629,633",6453160,11635804,103a,2002,7
"08/625,409",5699365,12097576,103,1997,5
"08/625,409",5699365,12029282,102b,1997,10
"08/625,409",5699365,12097576,103,1997,11
"08/691,764",5729219,11869985,103a,1998,2
"08/691,764",5729219,11869985,103a,1998,2
"08/691,764",5729219,11620424,103a,1998,4
"08/691,764",5729219,12503314,102b,1998,9
"08/691,764",5729219,12729689,103a,1998,19
"08/691,764",5729219,12729689,103a,1998,19
"08/691,764",5729219,12503314,103a,1998,15
"09/086,396",6415252,11830548,103a,2002,8
"11/537,251",7787870,12849495,103a,2010,21
"10/870,558",7453831,11718006,103a,2008,6
"10/870,558",7453831,11718006,103a,2008,2
"10/298,097",6724170,10790627,103a,2004,7
"10/298,097",6724170,10790627,103a,2004,7
"10/298,097",6724170,10790627,103a,2004,2
"10/298,097",6724170,10790627,103a,2004,2
"10/298,097",6724170,10790627,103a,2004,2
"10/623,750",7010657,11649258,103a,2006,41
"10/623,750",7010657,11649258,103a,2006,48
"10/623,750",7010657,11649258,103a,2006,38
